label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
2	889 m/s	1.1717	chicken	ferret	Michael	2273	1.0686	pig	1745	-284	202	0.1091	-653	1706 mph
2	428 m/s	-0.0765	dog	ferret	Fabrice	977	0.9189	pig	1219	-583	969	0.7261	-1656	316 mph
0	1678 m/s	1.7416	pig	cat, reptile, dog	Reilly	1037	-0.2971	n/a	1079	2651	660	0.4539	1701	1255 mph
0	1103 m/s	0.0829	rabbit	chicken	Reilly	193	1.4062	bird	-308	1753	-145	0.5078	2457	487 mph
3	1328 m/s	1.1795	chicken	bird	Lise	366	0.5416	rabbit	903	-1322	672	1.3176	1294	68 mph
3	1471 m/s	1.335	dog	bird	Lise	472	1.2551	rabbit	235	-1331	165	2.2601	107	798 mph
2	1719 m/s	0.2648	guinea pig	ferret	Inan, Fabrice	49	-1.2783	pig	372	2488	1523	0.888	-1123	463 mph
3	242 m/s	-1.3189	fish	hamster	Lise	629	1.8783	pig	0	771	1019	0.1919	720	945 mph
3	324 m/s	0.7081	hamster	hamster	Lise	1313	0.8408	ferret	688	455	968	0.305	2262	714 mph
1	777 m/s	2.2983	reptile	fish	Eriq, Andrew	1837	-0.4935	n/a	81	706	923	0.4524	-1083	1359 mph
2	623 m/s	-0.069	cat	ferret	Michael, Inan	-1007	0.5821	pig	152	1696	994	0.3595	1143	-241 mph
1	1136 m/s	-1.0674	reptile	n/a	Andrew, Eriq	2086	-0.4569	cat	444	1124	1381	1.8861	-254	1765 mph
0	798 m/s	1.1998	pig	dog	Chris	499	-0.3139	dog	-296	1552	1347	-0.931	621	1081 mph
1	980 m/s	0.4479	rabbit	rat, fish	Andrew	521	0.5293	chicken	204	1329	1706	-0.777	846	727 mph
1	-243 m/s	1.1471	rabbit	pig, fish	Eriq, Tony	919	0.3554	rabbit	974	None	398	1.1035	-1269	54 mph
4	1111 m/s	-0.1921	fish	chicken	Sam	-525	1.3266	hamster	1059	666	-85	-0.719	3314	1611 mph
3	801 m/s	-0.1846	ferret	hamster	Lise	1293	0.6719	hamster	725	-85	1238	-0.5333	838	1339 mph
1	879 m/s	2.3807	chicken	fish, rat	Tony, Andrew	-202	-0.2553	dog	383	697	1037	-0.1994	110	740 mph
2	1099 m/s	2.2485	guinea pig	ferret	Inan	1530	0.7219	pig	538	1631	1090	1.3072	-87	-805 mph
4	1035 m/s	0.8115	fish	chicken	Vani, Chris	-683	-0.6065	hamster	1127	591	468	2.0935	878	-177 mph
2	1280 m/s	0.8166	dog	ferret	Inan, Michael	181	-1.0641	pig	662	64	728	0.7338	380	608 mph
1	376 m/s	-0.993	reptile	pig, rat	Eriq	527	0.1312	guinea pig	1265	-100	1656	-0.4754	254	1357 mph
1	-1298 m/s	1.6876	reptile	pig, fish	Eriq	310	-1.1243	fish	498	-484	739	-0.5558	824	-39 mph
0	814 m/s	0.7357	pig	cat, reptile, dog	Reilly	-320	0.1331	dog	432	38	NULL	1.5692	1593	1149 mph
1	-246 m/s	2.3925	rabbit	rat	Andrew, Eriq	865	-0.2129	cat	1405	N/A	1267	0.8199	2755	1878 mph
3	673 m/s	0.9598	bird	bird	Lise	763	0.2521	rabbit	814	-726	479	-0.2731	-261	843 mph
4	-45 m/s	2.6549	fish	fish, rat	Vani	-114	N/A	hamster	150	63	1027	0.2376	2923	368 mph
0	584 m/s	1.0273	rabbit	dog	Eriq	-52	0.4654	dog	1111	1899	54	-0.5798	n/a	2276 mph
2	2168 m/s	2.2513	dog	ferret	Reilly	-887	1.5418	pig	-279	1351	1683	0.464	570	690 mph
0	1386 m/s	1.1029	cat	rabbit, dog	Reilly	1240	1.6625	bird	703	1622	376	0.1319	-286	-95 mph
0	-488 m/s	1.2924	cat	rabbit, cat	Reilly	443	0.5161	dog	-1222	1701	-128	1.0291	-1179	513 mph
1	1118 m/s	2.2873	reptile	rat, pig	Tony, Andrew	716	0.1155	cat	666	398	1140	-1.1229	376	44 mph
4	1220 m/s	0.5158	fish	guinea pig	Chris, Vani	767	-0.0338	hamster	895	1392	164	-0.5748	1347	1191 mph
1	931 m/s	-0.0956	reptile	pig, fish	Andrew, Eriq	1049	1.0469	fish	853	-1164	923	-0.2163	-668	1802 mph
2	1366 m/s	1.4312	guinea pig	ferret	Fabrice	2153	-0.0434	pig	1356	1511	1002	0.5425	-1	356 mph
0	572 m/s	-0.0557	pig	DOG, REPTILE, CAT	Reilly	-1151	1.0649	chicken	-399	516	552	0.8377	1046	612 mph
1	-335 m/s	1.0418	reptile	rat, pig	Eriq, Andrew	445	-0.7988	pig	77	-708	760	0.7399	-1985	763 mph
2	-215 m/s	0.0032	dog	ferret	Fabrice	-57	-0.3728	pig	-995	1062	1148	0.4787	-76	914 mph
3	324 m/s	-0.4004	rat	hamster	Lise	336	1.2828	rabbit	852	294	1088	0.4673	534	118 mph
2	-1153 m/s	-0.0418	dog	ferret	Michael, Inan	725	0.0753	pig	605	1388	1491	0.1523	1035	-373 mph
2	1401 m/s	0.0669	dog	ferret	Fabrice, Inan	51	0.6972	pig	1095	579	1176	1.0259	847	1075 mph
3	583 m/s	-0.5996	bird	chicken	Andrew	1529	1.3198	rabbit	942	1059	529	1.6388	-4	-103 mph
3	1860 m/s	0.6642	bird	hamster	Lise	895	0.4382	rabbit	-4	-1585	1149	1.783	-1034	746 mph
4	465 m/s	1.0125	fish	chicken	Chris	1138	0.0553	hamster	1112	-97	912	1.1724	2583	905 mph
3	-86 m/s	-0.0032	dog	bird	Lise	1791	0.3973	rabbit	72	-1491	1066	-0.1672	-632	964 mph
3	1795 m/s	0.2304	bird	hamster	Lise	1240	-1.3096	ferret	1016	1643	627	0.8885	20	1500 mph
1	1545 m/s	0.2857	reptile	rat	Eriq, Tony	952	0.1598	cat	-2	1123	-689	-0.5277	N/A	1099 mph
3	724 m/s	0.2246	bird	bird	Lise	1583	0.4382	pig	674	1301	25	-1.2599	394	-488 mph
2	1002 m/s	1.7161	dog	ferret	Fabrice	1149	0.9692	pig	1725	2017	1038	1.1836	-69	-189 mph
1	395 m/s	0.8953	rabbit	fish	Tony, Andrew	-304	1.2922	hamster	1950	626	737	0.6685	-581	-104 mph
3	1412 m/s	-0.2037	ferret	bird	Lise	580	2.4662	ferret	1303	-964	-690	1.0909	258	857 mph
4	132 m/s	1.0955	fish	chicken	Chris	577	0.6767	hamster	1467	1115	-587	1.3685	71	1422 mph
4	1626 m/s	0.5469	guinea pig	chicken	Vani, Sam	647	0.361	hamster	138	1297	29	0.6623	1163	1127 mph
4	1929 m/s	2.1908	fish	chicken	Vani	-107	1.7887	hamster	1332	-538	-73	-0.4658	1434	501 mph
3	2513 m/s	0.5801	bird	guinea pig	Lise	164	-0.9412	bird	581	-516	-676	0.4535	933	933 mph
1	1105 m/s	1.7017	rabbit	rat	Tony, Eriq	745	0.5491	cat	144	255	906	0.5166	563	104 mph
2	706 m/s	1.1118	dog	ferret	Inan, Fabrice	10	-0.666	rabbit	1126	-401	1634	-0.0081	-1591	739 mph
2	391 m/s	1.3547	fish	ferret	Inan	579	0.721	pig	84	2420	1917	1.1675	-781	86 mph
4	453 m/s	1.2702	fish	guinea pig	Vani, Chris	-833	0.4395	hamster	871	-403	-477	0.4117	657	434 mph
2	1646 m/s	0.6623	guinea pig	ferret	Michael	1842	1.0174	pig	828	1829	873	-0.7251	-521	323 mph
0	512 m/s	0.9795	cat	dog, rabbit, cat	Reilly	263	0.8311	dog	941	1547	177	0.2379	323	1031 mph
4	-91 m/s	1.2195	FISH	chicken	Sam, Chris	-311	1.0831	hamster	308	921	-171	-1.0084	1105	791 mph
3	1413 m/s	1.1639	bird	bird	Lise	3192	0.386	ferret	-423	306	253	0.8261	1512	-147 mph
2	2107 m/s	-0.0991	guinea pig	ferret	Inan	1096	-0.2819	pig	1128	253	1157	-0.2967	1045	436 mph
1	817 m/s	1.0808	reptile	rat, pig	Andrew	1854	-0.7064	cat	2144	964	1484	-0.1463	-2657	-707 mph
1	842 m/s	-0.2575	reptile	pig, fish	Eriq	-160	1.8678	fish	1000	229	1615	-1.5291	1021	1277 mph
0	343 m/s	1.4703	pig	reptile, dog, rabbit	Reilly	1719	0.7024	dog	-600	-800	1356	-0.1542	-296	1159 mph
2	60 m/s	0.9934	guinea pig	ferret	Fabrice	219	0.2839	PIG	1503	2187	1227	-0.2469	-929	1834 mph
4	147 m/s	2.7626	fish	chicken	Vani	-547	1.3972	hamster	1882	-471	798	-0.3288	-39	1892 mph
0	376 m/s	2.3467	cat	rabbit	Reilly	643	0.6443	dog	17	1219	504	2.2772	343	652 mph
3	1674 m/s	1.0076	hamster	bird	Lise	503	1.3563	ferret	448	-501	-845	1.4443	-1104	1290 mph
1	337 m/s	0.6986	None	reptile, rabbit	Eriq, Tony	995	-0.0356	rat	1252	1378	890	0.7436	704	1095 mph
3	1530 m/s	1.7513	ferret	hamster	Lise	536	0.9411	rabbit	248	82	252	1.292	737	-458 mph
2	1561 m/s	0.9359	dog	ferret	Michael	2749	1.0568	pig	2457	-1042	751	0.4595	-539	1126 mph
0	-231 m/s	1.9046	pig		REILLY	-742	0.7188	bird	1695	483	264	0.0921	966	355 mph
1	126 m/s	2.0	reptile	Rat, Pig	Tony	1208	-0.8466	N/A	1673	-112	1398	-0.8416	-638	653 mph
4	-380 m/s	0.8485	fish	guinea pig	vani	252	0.3778	hamster	-581	-703	26	-1.3376	2278	495 mph
4	840 m/s	0.1448	hamster	guinea pig	Vani, Chris	-10	0.0999	hamster	278	206	21	0.3635	2073	611 mph
3	1970 m/s	0.7809	ferret	pig, fish	Lise	664	0.2855	rabbit	823	341	-619	0.2921	428	1299 mph
0	376 m/s	0.6729	cat	reptile, dog	Michael	626	0.6224	bird	2076	774	388	-1.26	1719	1528 mph
4	190 m/s	0.5478	fish	guinea pig	Vani	422	0.2348	hamster	23	-394	291	0.6186	1323	1805 mph
1	799 m/s	1.4507	reptile	fish, rat	Tony, Andrew	833	0.1543	guinea pig	870	1564	2101	1.7395	-315	374 mph
1	-116 m/s	1.8427	rabbit	fish	Eriq, Tony	617	1.6611	cat	-476	751	1158	0.0804	680	957 mph
1	73 m/s	1.5945	pig	fish	Tony	-136	1.4377	reptile	444	2467	1625	0.4678	81	836 mph
3	1004 m/s	-0.2076	cat	hamster	Lise	167	1.5602	rabbit	1218	-831	789	0.3286	163	455 mph
3	-179 m/s	-0.1413	ferret	guinea pig	Andrew	-781	-0.1458	rabbit	1778	N/A	1411	1.8696	-1915	167 mph
0	238 m/s	1.5234	pig	reptile	Reilly	394	0.9941	dog	143	897	1589	-0.4886	1264	795 mph
4	638 m/s	1.999	fish	guinea pig	Chris, Sam	782	0.8237	hamster	1882	275	917	0.0317	1337	1032 mph
0	-740 m/s	1.8181	cat	dog, rabbit	Reilly	-13	0.0127	dog	452	-576	1227	1.262	-584	1260 mph
4	883 m/s	0.9529	fish	guinea pig	Vani	32	0.2102	hamster	1103	-231	764	0.5702	3377	-548 mph
3	451 m/s	-0.7091	bird	hamster	Lise	-782	0.5316	FERRET	1551	-165	518	1.2758	1890	-244 mph
0	-1 m/s	0.2336	pig	cat, rabbit, reptile	Reilly	-93	0.5631	bird	-1039	1681	-203	0.7617	671	171 mph
0	-110 m/s	-0.2981	cat	RABBIT	Reilly	602	-0.0505	bird	-410	914	1110	0.2444	929	824 mph
3	693 m/s	0.331	fish	hamster	Tony	-511	0.3242	rabbit	211	503	171	-0.2872	280	-852 mph
3	732 m/s	0.6622	PIG	bird	Andrew	754	-0.2722	rabbit	1376	-22	1023	-1.0908	183	-489 mph
3	1266 m/s	1.5779	BIRD	bird	Lise	1947	-0.5174	rabbit	1207	517	610	0.1041	1648	1203 mph
1	-211 m/s	0.3998	reptile	rat, pig	Tony, Eriq	-333	1.1481	GUINEA PIG	277	905	429	-0.0125	-608	91 mph
2	1747 m/s	0.5608	dog	ferret	Inan	431	0.3697	pig	1718	287	478	1.1707	398	177 mph
0	-414 m/s	0.9719	cat	cat	Reilly	419	0.56	dog	-404	-64	-326	1.6108	910	744 mph
2	1009 m/s	0.973	chicken	ferret	Fabrice	-234	1.9921	pig	2086	1940	1906	-0.6891	-1322	948 mph
0	539 m/s	0.7613	cat	cat, rabbit, dog	Reilly	-298	None	bird	-1191	-726	-142	0.0288	434	853 mph
3	-434 m/s	0.8086	rat	hamster	Lise	797	1.2965	rabbit	269	440	784	0.7606	2359	1726 mph
2	1436 m/s	0.6054	rabbit	ferret	Reilly	1469	1.8306	pig	1297	38	648	0.5962	66	476 mph
3	2148 m/s	-0.1263	reptile	hamster	Lise	280	0.6421	ferret	-53	-419	657	-0.2617	-267	2230 mph
0	-34 m/s	1.6582	cat	reptile, rabbit, dog	Reilly	-260	0.6265	bird	-491	1165	-493	0.6355	1579	1446 mph
2	1110 m/s	1.9152	chicken	ferret		-274	-0.0101	pig	851	551	1194	-0.2241	107	-870 mph
0	588 m/s	0.7773	cat	reptile, rabbit	Reilly	201	1.0194	dog	424	-424	NULL	1.3317	74	1110 mph
3	1789 m/s	0.3574	bird	ferret	Lise	1712	-0.1779	rabbit	96	1835	905	-0.0534	880	1819 mph
3	1271 m/s	1.1797	ferret	bird	Lise	394	-0.1656	rabbit	191	967	150	0.0676	65	-1245 mph
0	-45 m/s	1.5098	cat	rabbit, reptile	Reilly	-76	0.6819	bird	1521	2352	1271	1.6968	2415	630 mph
2	-118 m/s	1.1083	guinea pig	ferret	Fabrice	920	0.7443	pig	-470		1050	1.588	425	-550 mph
4	197 m/s	1.4109	fish	chicken	Chris, Sam	-1024	1.4559	hamster	30	-47	9	-2.4071	1936	1104 mph
4	286 m/s	0.4298	fish	chicken	Chris, Sam	-1465	0.8643	dog	-1375	2177	419	1.0709	-551	480 mph
0	1160 m/s	1.2327	cat	hamster	Reilly	912	1.1111	dog	-564	1766	995	0.3133	1371	169 mph
